"price","weight","cut"
2649,0.71,"Very Good"
15618,2.01,"Very Good"
662,0.38,"Very Good"
4515,0.9,"Very Good"
2138,0.74,"Very Good"
3780,1.04,"Very Good"
4190,1.04,"Very Good"
10662,2.22,"Very Good"
4369,0.9,"Very Good"
6996,1.56,"Very Good"
5601,1.29,"Very Good"
3789,1,"Very Good"
4166,1.01,"Very Good"
15025,2,"Very Good"
17759,2.01,"Very Good"
4665,0.86,"Very Good"
2227,0.69,"Very Good"
12915,2.02,"Very Good"
4456,1.11,"Very Good"
4462,1.24,"Very Good"
2411,0.61,"Very Good"
6563,1.01,"Very Good"
414,0.23,"Very Good"
3993,0.74,"Very Good"
5515,1.08,"Very Good"
1605,0.52,"Very Good"
1219,0.52,"Very Good"
1164,0.46,"Very Good"
4325,0.93,"Very Good"
591,0.27,"Very Good"
976,0.43,"Very Good"
11776,1.52,"Very Good"
1089,0.4,"Very Good"
1013,0.3,"Very Good"
2343,0.7,"Very Good"
3584,0.9,"Very Good"
4463,0.9,"Very Good"
5544,1,"Very Good"
561,0.32,"Very Good"
5562,1.18,"Very Good"
2258,0.71,"Very Good"
7127,1.01,"Very Good"
2117,0.7,"Very Good"
4137,1.02,"Very Good"
1743,0.55,"Very Good"
4283,1.11,"Very Good"
4849,0.91,"Very Good"
3217,0.71,"Very Good"
13825,2.04,"Very Good"
921,0.42,"Very Good"
4537,1.1,"Very Good"
2517,0.76,"Very Good"
4800,1.03,"Very Good"
4282,1.03,"Very Good"
4012,0.91,"Very Good"
2316,0.78,"Very Good"
3429,0.78,"Very Good"
823,0.41,"Very Good"
2264,0.74,"Very Good"
4868,1.01,"Very Good"
5654,1.01,"Very Good"
477,0.32,"Very Good"
3774,1.29,"Very Good"
5551,1.09,"Very Good"
2137,0.71,"Very Good"
1599,0.6,"Very Good"
3897,1.01,"Very Good"
12014,1.5,"Very Good"
903,0.43,"Very Good"
6818,1,"Very Good"
2477,0.72,"Very Good"
16092,2,"Very Good"
2453,0.7,"Very Good"
2618,0.93,"Very Good"
5612,1.31,"Very Good"
2113,0.52,"Very Good"
2964,0.71,"Very Good"
748,0.32,"Very Good"
8438,1.24,"Very Good"
682,0.27,"Very Good"
3510,0.9,"Very Good"
3689,0.9,"Very Good"
6464,1.14,"Very Good"
1323,0.52,"Very Good"
6105,1.01,"Very Good"
5221,1.2,"Very Good"
16389,2.04,"Very Good"
378,0.23,"Very Good"
4867,1,"Very Good"
3126,0.57,"Very Good"
3618,0.92,"Very Good"
3162,0.9,"Very Good"
10020,1.26,"Very Good"
7915,1.51,"Very Good"
2206,0.71,"Very Good"
401,0.26,"Very Good"
3998,1.01,"Very Good"
15086,2.03,"Very Good"
7312,1.27,"Very Good"
600,0.29,"Very Good"
5778,1.02,"Very Good"
629,0.3,"Very Good"
1105,0.45,"Very Good"
5009,1,"Very Good"
1289,0.5,"Very Good"
7487,1.01,"Very Good"
504,0.27,"Very Good"
9139,1,"Very Good"
7906,1.21,"Very Good"
552,0.27,"Very Good"
609,0.29,"Very Good"
2278,0.77,"Very Good"
4666,1.01,"Very Good"
798,0.42,"Very Good"
4846,1.01,"Very Good"
7549,1.35,"Very Good"
18507,2.03,"Very Good"
1577,0.52,"Very Good"
2046,0.58,"Very Good"
3170,0.76,"Very Good"
5836,1.24,"Very Good"
2925,0.8,"Very Good"
3335,0.95,"Very Good"
3734,0.9,"Very Good"
1847,0.52,"Very Good"
4697,0.9,"Very Good"
1009,0.42,"Very Good"
2434,0.73,"Very Good"
1057,0.52,"Very Good"
8706,1.51,"Very Good"
1331,0.31,"Very Good"
13953,1.25,"Very Good"
1636,0.53,"Very Good"
499,0.3,"Very Good"
413,0.3,"Very Good"
2419,0.51,"Premium"
941,0.38,"Premium"
18705,2.01,"Premium"
3394,1.01,"Premium"
4395,1.09,"Premium"
3507,1.01,"Premium"
720,0.32,"Premium"
1637,0.54,"Premium"
688,0.23,"Premium"
2706,0.76,"Premium"
4270,1.01,"Premium"
3450,0.77,"Premium"
13182,2.03,"Premium"
1709,0.51,"Premium"
12987,2,"Premium"
3045,0.72,"Premium"
4126,1.07,"Premium"
2089,0.77,"Premium"
4953,1,"Premium"
10929,1.36,"Premium"
2887,0.7,"Premium"
1076,0.41,"Premium"
2942,0.76,"Premium"
4779,1.01,"Premium"
17053,2.32,"Premium"
3414,0.91,"Premium"
894,0.39,"Premium"
3084,0.81,"Premium"
4989,1.01,"Premium"
2398,0.71,"Premium"
5219,1.09,"Premium"
966,0.4,"Premium"
4451,0.92,"Premium"
724,0.43,"Premium"
3136,0.8,"Premium"
4468,1.01,"Premium"
2369,0.77,"Premium"
11149,1.55,"Premium"
1881,0.55,"Premium"
4390,1.12,"Premium"
2723,0.74,"Premium"
2297,0.71,"Premium"
2262,0.72,"Premium"
2765,0.71,"Premium"
7351,1.02,"Premium"
4404,1.21,"Premium"
533,0.32,"Premium"
411,0.23,"Premium"
2716,0.82,"Premium"
7389,1.53,"Premium"
1103,0.56,"Premium"
11194,1.5,"Premium"
1229,0.45,"Premium"
6363,1.19,"Premium"
11760,1.51,"Premium"
1295,0.41,"Premium"
15398,2.04,"Premium"
2797,0.71,"Premium"
1212,0.57,"Premium"
576,0.32,"Premium"
8810,1.23,"Premium"
4059,0.96,"Premium"
16336,2.11,"Premium"
18117,2.02,"Premium"
891,0.44,"Premium"
10609,1.43,"Premium"
8216,1.52,"Premium"
7171,1.33,"Premium"
1439,0.58,"Premium"
4072,1.01,"Premium"
3216,1.1,"Premium"
6733,1.01,"Premium"
11113,1.57,"Premium"
1712,0.53,"Premium"
3899,1.01,"Premium"
10350,1.61,"Premium"
1125,0.4,"Premium"
8969,1.54,"Premium"
13540,2.14,"Premium"
4103,0.9,"Premium"
872,0.31,"Premium"
10018,1.21,"Premium"
4437,1.15,"Premium"
7274,1.2,"Premium"
6588,1.2,"Premium"
762,0.33,"Premium"
16985,2.02,"Premium"
4853,1.01,"Premium"
936,0.39,"Premium"
6763,1.22,"Premium"
6098,1.1,"Premium"
3142,1,"Premium"
899,0.41,"Premium"
4818,1.02,"Premium"
939,0.34,"Premium"
4677,0.9,"Premium"
3392,1.04,"Premium"
12308,2,"Premium"
1720,0.54,"Premium"
7816,1.22,"Premium"
1208,0.3,"Premium"
1892,0.54,"Premium"
1778,0.56,"Premium"
1133,0.31,"Premium"
15392,2.07,"Premium"
16820,2.48,"Premium"
2042,0.7,"Premium"
15498,2.02,"Premium"
11007,1.5,"Premium"
5723,1.4,"Premium"
2613,0.71,"Premium"
8219,1.12,"Premium"
4303,1.09,"Premium"
13069,2.11,"Premium"
5429,1.02,"Premium"
6931,1.3,"Premium"
11380,1.58,"Premium"
11021,1.2,"Premium"
1614,0.51,"Premium"
9081,1.54,"Premium"
7130,1.19,"Premium"
10401,2.01,"Premium"
1327,0.38,"Premium"
926,0.32,"Premium"
835,0.6,"Premium"
471,0.31,"Premium"
6552,1,"Premium"
15151,1.73,"Premium"
10530,1.29,"Premium"
394,0.21,"Premium"
11370,1.53,"Premium"
1356,0.54,"Premium"
12238,1.75,"Premium"
658,0.3,"Premium"
1094,0.33,"Premium"
945,0.4,"Premium"
1064,0.38,"Premium"
4775,1.01,"Premium"
5556,1.21,"Premium"
851,0.3,"Premium"
4452,1,"Premium"
5588,1.32,"Premium"
7817,1.41,"Premium"
15253,1.51,"Premium"
4666,1.24,"Premium"
866,0.33,"Premium"
10389,1.27,"Premium"
576,0.25,"Premium"
4064,0.9,"Premium"
11108,2,"Premium"
576,0.32,"Premium"
5107,1.26,"Premium"
5455,1.02,"Premium"
12179,1.5,"Premium"
2648,0.74,"Premium"
11484,1.5,"Premium"
5583,1.24,"Premium"
3266,0.81,"Premium"
3869,0.94,"Premium"
5923,1.01,"Premium"
662,0.3,"Premium"
5557,1.05,"Premium"
3911,0.97,"Premium"
1775,0.5,"Premium"
3574,1.15,"Premium"
7852,1.04,"Premium"
4793,0.93,"Premium"
1443,0.51,"Premium"
1806,0.7,"Premium"
7106,1.41,"Premium"
889,0.39,"Premium"
1333,0.4,"Premium"
2753,0.76,"Premium"
1369,0.54,"Premium"
1356,0.41,"Premium"
4270,1.15,"Premium"
874,0.32,"Premium"
3758,0.94,"Premium"
13437,2.08,"Premium"
853,0.33,"Premium"
1980,0.55,"Premium"
7848,1.54,"Premium"
8454,1.09,"Premium"
2171,0.67,"Premium"
12655,1.51,"Premium"
900,0.5,"Premium"
1783,0.53,"Premium"
9282,1.25,"Premium"
4452,1.06,"Premium"
3735,1.15,"Premium"
787,0.39,"Premium"
2757,0.86,"Premium"
2184,0.7,"Premium"
3312,0.8,"Premium"
4496,1,"Premium"
14949,1.82,"Premium"
382,0.26,"Premium"
4959,1.15,"Premium"
740,0.25,"Premium"
3108,0.74,"Premium"
1814,0.47,"Ideal"
2731,0.72,"Ideal"
9712,1.06,"Ideal"
6488,1.24,"Ideal"
3500,0.83,"Ideal"
5046,1.12,"Ideal"
518,0.37,"Ideal"
7805,1.01,"Ideal"
4769,1.03,"Ideal"
598,0.4,"Ideal"
3121,0.86,"Ideal"
506,0.3,"Ideal"
3451,0.7,"Ideal"
9636,0.91,"Ideal"
1043,0.4,"Ideal"
3210,0.8,"Ideal"
1406,0.56,"Ideal"
687,0.24,"Ideal"
15857,2.05,"Ideal"
1584,0.43,"Ideal"
657,0.26,"Ideal"
1202,0.44,"Ideal"
1173,0.54,"Ideal"
2548,0.73,"Ideal"
438,0.34,"Ideal"
2117,0.56,"Ideal"
3167,0.71,"Ideal"
12081,1.22,"Ideal"
1226,0.52,"Ideal"
4816,1.05,"Ideal"
3540,0.71,"Ideal"
15821,1.51,"Ideal"
3334,0.72,"Ideal"
3615,0.73,"Ideal"
5443,1.24,"Ideal"
427,0.33,"Ideal"
14957,1.56,"Ideal"
2145,0.71,"Ideal"
745,0.4,"Ideal"
1684,0.5,"Ideal"
1422,0.54,"Ideal"
3514,0.81,"Ideal"
12821,1.5,"Ideal"
7119,1.03,"Ideal"
9533,1.5,"Ideal"
1279,0.5,"Ideal"
3111,0.8,"Ideal"
8085,1.23,"Ideal"
5880,1,"Ideal"
5751,1.01,"Ideal"
1150,0.4,"Ideal"
876,0.37,"Ideal"
5163,1.18,"Ideal"
725,0.4,"Ideal"
6783,1.25,"Ideal"
720,0.34,"Ideal"
1397,0.38,"Ideal"
790,0.32,"Ideal"
1031,0.38,"Ideal"
1871,0.55,"Ideal"
737,0.38,"Ideal"
497,0.28,"Ideal"
599,0.4,"Ideal"
5444,1.07,"Ideal"
4007,0.75,"Ideal"
3097,0.52,"Ideal"
956,0.35,"Ideal"
3708,0.72,"Ideal"
4423,1.35,"Ideal"
7240,1.01,"Ideal"
1062,0.43,"Ideal"
8024,1.02,"Ideal"
5761,1.35,"Ideal"
1940,0.7,"Ideal"
1273,0.42,"Ideal"
3931,0.9,"Ideal"
1063,0.35,"Ideal"
713,0.32,"Ideal"
2154,0.74,"Ideal"
1064,0.43,"Ideal"
8400,1.11,"Ideal"
14802,2.14,"Ideal"
4801,1.04,"Ideal"
7847,1.51,"Ideal"
3082,0.8,"Ideal"
4258,0.92,"Ideal"
9483,1.05,"Ideal"
1570,0.4,"Ideal"
1129,0.51,"Ideal"
1409,0.54,"Ideal"
1567,0.54,"Ideal"
4469,1.04,"Ideal"
2092,0.7,"Ideal"
672,0.32,"Ideal"
8915,1.27,"Ideal"
2482,0.81,"Ideal"
5055,1.02,"Ideal"
1213,0.41,"Ideal"
6078,1.08,"Ideal"
2844,1.01,"Ideal"
6616,1.1,"Ideal"
1332,0.5,"Ideal"
1054,0.53,"Ideal"
4788,0.9,"Ideal"
555,0.34,"Ideal"
2553,0.8,"Ideal"
1019,0.52,"Ideal"
1990,0.53,"Ideal"
4200,1.04,"Ideal"
2224,0.55,"Ideal"
1160,0.5,"Ideal"
3172,1.03,"Ideal"
2616,0.7,"Ideal"
3319,0.7,"Ideal"
9315,1.53,"Ideal"
844,0.53,"Ideal"
1207,0.43,"Ideal"
2761,0.74,"Ideal"
1041,0.37,"Ideal"
1124,0.37,"Ideal"
2053,0.56,"Ideal"
5207,0.77,"Ideal"
3154,0.58,"Ideal"
803,0.33,"Ideal"
1848,0.55,"Ideal"
1615,0.54,"Ideal"
830,0.35,"Ideal"
586,0.23,"Ideal"
722,0.41,"Ideal"
5075,1.14,"Ideal"
5253,1.06,"Ideal"
2259,0.57,"Ideal"
636,0.36,"Ideal"
11074,1.11,"Ideal"
9257,1.05,"Ideal"
4200,1,"Ideal"
4047,0.72,"Ideal"
3774,0.8,"Ideal"
5991,1.16,"Ideal"
7589,1.21,"Ideal"
688,0.32,"Ideal"
10869,1.55,"Ideal"
2383,0.7,"Ideal"
1878,0.52,"Ideal"
6633,1.4,"Ideal"
2109,0.6,"Ideal"
8226,1.25,"Ideal"
2250,0.53,"Ideal"
1105,0.41,"Ideal"
507,0.31,"Ideal"
640,0.31,"Ideal"
1847,0.52,"Ideal"
2356,0.54,"Ideal"
10445,1.23,"Ideal"
2469,0.7,"Ideal"
5765,1.2,"Ideal"
2257,0.77,"Ideal"
984,0.5,"Ideal"
16147,2.19,"Ideal"
6558,1.07,"Ideal"
969,0.41,"Ideal"
2441,0.52,"Ideal"
8701,1.03,"Ideal"
7806,1.21,"Ideal"
525,0.29,"Ideal"
639,0.41,"Ideal"
1819,0.54,"Ideal"
734,0.31,"Ideal"
9694,1.12,"Ideal"
2985,0.75,"Ideal"
1196,0.44,"Ideal"
4950,0.98,"Ideal"
916,0.3,"Ideal"
6982,1.11,"Ideal"
1205,0.53,"Ideal"
792,0.4,"Ideal"
2447,0.57,"Ideal"
8639,1.17,"Ideal"
3148,0.77,"Ideal"
14775,1.74,"Ideal"
6727,1.21,"Ideal"
2068,0.72,"Ideal"
658,0.38,"Ideal"
697,0.38,"Ideal"
2058,0.72,"Ideal"
10812,1.2,"Ideal"
684,0.31,"Ideal"
6024,1.01,"Ideal"
3229,0.71,"Ideal"
348,0.3,"Ideal"
587,0.27,"Ideal"
815,0.29,"Ideal"
12725,1.5,"Ideal"
6139,1.17,"Ideal"
1454,0.54,"Ideal"
3033,0.73,"Ideal"
6648,1.07,"Ideal"
1720,0.52,"Ideal"
13140,1.6,"Ideal"
6732,1.02,"Ideal"
