"price","weight","cut"
2854,0.91,"Fair"
3833,1.17,"Fair"
3080,1,"Fair"
5294,1.01,"Fair"
7560,1.5,"Fair"
3674,0.96,"Fair"
3246,1.03,"Fair"
1208,0.3,"Fair"
3991,1.01,"Fair"
10752,2,"Fair"
7934,2.2,"Fair"
638,0.32,"Fair"
949,0.5,"Fair"
5161,1,"Fair"
2732,0.9,"Fair"
369,0.23,"Fair"
3837,0.91,"Fair"
3830,1,"Fair"
2176,0.7,"Fair"
6366,1.01,"Fair"
3332,0.98,"Fair"
4176,1.13,"Fair"
1981,0.7,"Fair"
3696,1,"Fair"
7819,1.5,"Fair"
6041,1.01,"Fair"
4004,1.01,"Fair"
2330,0.73,"Fair"
5171,1.08,"Fair"
3403,1.14,"Fair"
2717,0.7,"Fair"
5430,0.91,"Fair"
4118,1.01,"Fair"
3348,1,"Fair"
3980,1.08,"Fair"
4047,1.01,"Fair"
630,0.3,"Fair"
1749,0.98,"Fair"
3422,1,"Fair"
4056,1.11,"Fair"
4423,1.35,"Fair"
11668,3.65,"Fair"
5186,1.05,"Fair"
2493,0.85,"Fair"
2235,0.69,"Fair"
1982,0.7,"Fair"
4312,1,"Fair"
2710,0.7,"Fair"
4181,1.01,"Fair"
3730,1.11,"Fair"
5240,1.72,"Fair"
2856,1,"Fair"
10671,2.01,"Fair"
8714,1.71,"Fair"
1238,0.5,"Fair"
3593,0.99,"Fair"
5178,1.11,"Fair"
3756,0.86,"Fair"
2167,0.6,"Fair"
1031,0.5,"Fair"
4480,1,"Fair"
2117,0.7,"Fair"
919,0.47,"Fair"
1103,0.5,"Fair"
693,0.33,"Fair"
3833,1,"Fair"
3530,1.03,"Fair"
2352,0.71,"Fair"
2339,0.82,"Fair"
1631,0.73,"Fair"
1436,0.67,"Fair"
3482,1.01,"Fair"
6147,1.96,"Fair"
2498,0.72,"Fair"
4704,1,"Fair"
2396,0.72,"Fair"
3864,1,"Fair"
6503,2.07,"Fair"
14750,2.06,"Fair"
10076,2.52,"Fair"
1030,0.52,"Fair"
15282,2.11,"Fair"
4227,1.02,"Fair"
12633,2.11,"Fair"
581,0.31,"Fair"
3629,0.9,"Fair"
1651,0.85,"Fair"
2152,0.7,"Fair"
2815,0.96,"Fair"
735,0.41,"Fair"
5484,1,"Fair"
10577,3.02,"Fair"
5645,1.5,"Fair"
4106,1.01,"Fair"
1156,0.5,"Fair"
1865,0.7,"Fair"
627,0.5,"Fair"
3387,1,"Fair"
2723,1,"Fair"
2655,1.2,"Fair"
3084,0.9,"Fair"
2398,1,"Fair"
5524,1.35,"Fair"
4417,1.01,"Fair"
4648,1.52,"Fair"
616,0.37,"Very Good"
3301,0.9,"Very Good"
2996,0.88,"Very Good"
2001,0.72,"Very Good"
712,0.42,"Very Good"
651,0.31,"Very Good"
1035,0.4,"Very Good"
4583,1.02,"Very Good"
11130,1.24,"Very Good"
1665,0.54,"Very Good"
4586,0.91,"Very Good"
3888,1.01,"Very Good"
18430,1.74,"Very Good"
2079,0.52,"Very Good"
1129,0.54,"Very Good"
4604,1.02,"Very Good"
2346,0.71,"Very Good"
729,0.43,"Very Good"
1117,0.58,"Very Good"
3980,1.02,"Very Good"
698,0.34,"Very Good"
5294,1.01,"Very Good"
491,0.3,"Very Good"
792,0.43,"Very Good"
5713,1.01,"Very Good"
450,0.3,"Very Good"
618,0.32,"Very Good"
7710,1,"Very Good"
8644,1.35,"Very Good"
7207,1.04,"Very Good"
4419,1,"Very Good"
5542,1.01,"Very Good"
6773,1.01,"Very Good"
4661,0.94,"Very Good"
605,0.3,"Very Good"
2200,0.7,"Very Good"
2682,0.7,"Very Good"
5977,1.02,"Very Good"
3593,0.82,"Very Good"
907,0.31,"Very Good"
449,0.24,"Very Good"
16485,1.52,"Very Good"
6315,1,"Very Good"
2042,0.7,"Very Good"
2649,0.71,"Very Good"
15618,2.01,"Very Good"
662,0.38,"Very Good"
4515,0.9,"Very Good"
2138,0.74,"Very Good"
3780,1.04,"Very Good"
4190,1.04,"Very Good"
10662,2.22,"Very Good"
4369,0.9,"Very Good"
6996,1.56,"Very Good"
5601,1.29,"Very Good"
3789,1,"Very Good"
4166,1.01,"Very Good"
15025,2,"Very Good"
17759,2.01,"Very Good"
4665,0.86,"Very Good"
2227,0.69,"Very Good"
12915,2.02,"Very Good"
4456,1.11,"Very Good"
4462,1.24,"Very Good"
2411,0.61,"Very Good"
6563,1.01,"Very Good"
414,0.23,"Very Good"
3993,0.74,"Very Good"
5515,1.08,"Very Good"
1605,0.52,"Very Good"
1219,0.52,"Very Good"
1164,0.46,"Very Good"
4325,0.93,"Very Good"
591,0.27,"Very Good"
976,0.43,"Very Good"
11776,1.52,"Very Good"
1089,0.4,"Very Good"
1013,0.3,"Very Good"
2343,0.7,"Very Good"
3584,0.9,"Very Good"
4463,0.9,"Very Good"
5544,1,"Very Good"
561,0.32,"Very Good"
5562,1.18,"Very Good"
2258,0.71,"Very Good"
7127,1.01,"Very Good"
2117,0.7,"Very Good"
4137,1.02,"Very Good"
1743,0.55,"Very Good"
4283,1.11,"Very Good"
4849,0.91,"Very Good"
3217,0.71,"Very Good"
13825,2.04,"Very Good"
921,0.42,"Very Good"
4537,1.1,"Very Good"
2517,0.76,"Very Good"
4800,1.03,"Very Good"
4282,1.03,"Very Good"
4012,0.91,"Very Good"
2316,0.78,"Very Good"
3429,0.78,"Very Good"
823,0.41,"Very Good"
2264,0.74,"Very Good"
4868,1.01,"Very Good"
5654,1.01,"Very Good"
477,0.32,"Very Good"
3774,1.29,"Very Good"
5551,1.09,"Very Good"
2137,0.71,"Very Good"
1599,0.6,"Very Good"
3897,1.01,"Very Good"
12014,1.5,"Very Good"
903,0.43,"Very Good"
6818,1,"Very Good"
2477,0.72,"Very Good"
16092,2,"Very Good"
2453,0.7,"Very Good"
2618,0.93,"Very Good"
5612,1.31,"Very Good"
2113,0.52,"Very Good"
2964,0.71,"Very Good"
748,0.32,"Very Good"
8438,1.24,"Very Good"
682,0.27,"Very Good"
3510,0.9,"Very Good"
3689,0.9,"Very Good"
6464,1.14,"Very Good"
1323,0.52,"Very Good"
6105,1.01,"Very Good"
5221,1.2,"Very Good"
16389,2.04,"Very Good"
378,0.23,"Very Good"
4867,1,"Very Good"
3126,0.57,"Very Good"
3618,0.92,"Very Good"
3162,0.9,"Very Good"
10020,1.26,"Very Good"
7915,1.51,"Very Good"
2206,0.71,"Very Good"
401,0.26,"Very Good"
3998,1.01,"Very Good"
15086,2.03,"Very Good"
7312,1.27,"Very Good"
600,0.29,"Very Good"
5778,1.02,"Very Good"
629,0.3,"Very Good"
1105,0.45,"Very Good"
5009,1,"Very Good"
1289,0.5,"Very Good"
7487,1.01,"Very Good"
504,0.27,"Very Good"
9139,1,"Very Good"
7906,1.21,"Very Good"
552,0.27,"Very Good"
609,0.29,"Very Good"
2278,0.77,"Very Good"
4666,1.01,"Very Good"
798,0.42,"Very Good"
4846,1.01,"Very Good"
7549,1.35,"Very Good"
18507,2.03,"Very Good"
1577,0.52,"Very Good"
2046,0.58,"Very Good"
3170,0.76,"Very Good"
5836,1.24,"Very Good"
2925,0.8,"Very Good"
3335,0.95,"Very Good"
3734,0.9,"Very Good"
1847,0.52,"Very Good"
4697,0.9,"Very Good"
1009,0.42,"Very Good"
2434,0.73,"Very Good"
1057,0.52,"Very Good"
8706,1.51,"Very Good"
1331,0.31,"Very Good"
13953,1.25,"Very Good"
1636,0.53,"Very Good"
499,0.3,"Very Good"
413,0.3,"Very Good"
2481,0.63,"Very Good"
1105,0.63,"Very Good"
833,0.38,"Very Good"
3268,0.75,"Very Good"
4270,1.01,"Very Good"
3356,0.89,"Very Good"
883,0.39,"Very Good"
1800,0.51,"Very Good"
868,0.4,"Very Good"
4141,0.82,"Very Good"
3307,0.53,"Very Good"
16582,2.01,"Very Good"
1857,0.59,"Very Good"
16151,2.12,"Very Good"
3012,0.78,"Very Good"
3991,1,"Very Good"
2211,0.51,"Very Good"
4762,1.02,"Very Good"
12215,2.21,"Very Good"
2910,0.71,"Very Good"
1291,0.43,"Very Good"
1442,0.41,"Ideal"
1908,0.65,"Ideal"
2886,0.73,"Ideal"
4198,0.9,"Ideal"
10295,1.21,"Ideal"
3092,0.7,"Ideal"
1571,0.5,"Ideal"
12843,1.78,"Ideal"
2946,0.77,"Ideal"
1154,0.39,"Ideal"
4374,1.07,"Ideal"
849,0.39,"Ideal"
4568,0.92,"Ideal"
13661,1.21,"Ideal"
3856,1.02,"Ideal"
424,0.31,"Ideal"
2961,0.76,"Ideal"
1450,0.46,"Ideal"
1803,0.53,"Ideal"
1065,0.54,"Ideal"
1636,0.58,"Ideal"
1154,0.38,"Ideal"
2568,0.72,"Ideal"
3881,1,"Ideal"
840,0.33,"Ideal"
7737,1.57,"Ideal"
745,0.31,"Ideal"
3791,0.59,"Ideal"
2652,0.75,"Ideal"
990,0.4,"Ideal"
1691,0.56,"Ideal"
1608,0.57,"Ideal"
984,0.33,"Ideal"
2742,0.71,"Ideal"
815,0.37,"Ideal"
809,0.37,"Ideal"
2047,0.7,"Ideal"
2762,0.8,"Ideal"
5841,0.74,"Ideal"
3802,0.97,"Ideal"
752,0.33,"Ideal"
3498,0.9,"Ideal"
2732,0.66,"Ideal"
5866,1.24,"Ideal"
15847,1.74,"Ideal"
2308,0.64,"Ideal"
1039,0.4,"Ideal"
7776,1.06,"Ideal"
17240,1.54,"Ideal"
2202,0.56,"Ideal"
2334,0.54,"Ideal"
1245,0.38,"Ideal"
5306,1.09,"Ideal"
1786,0.53,"Ideal"
2018,0.55,"Ideal"
552,0.4,"Ideal"
8040,1.2,"Ideal"
18168,2.2,"Ideal"
1176,0.42,"Ideal"
1002,0.33,"Ideal"
9580,1.32,"Ideal"
2783,0.52,"Ideal"
1675,0.52,"Ideal"
17126,2.01,"Ideal"
2572,0.71,"Ideal"
3439,0.82,"Ideal"
6636,1.69,"Ideal"
3454,0.74,"Ideal"
9998,1.54,"Ideal"
629,0.38,"Ideal"
2373,0.61,"Ideal"
12832,2.02,"Ideal"
7459,1.04,"Ideal"
6363,1.06,"Ideal"
5736,1.2,"Ideal"
1984,0.58,"Ideal"
666,0.33,"Ideal"
3462,0.75,"Ideal"
2986,0.84,"Ideal"
601,0.3,"Ideal"
1683,0.43,"Ideal"
971,0.33,"Ideal"
2081,0.56,"Ideal"
1074,0.4,"Ideal"
7701,1.24,"Ideal"
1060,0.31,"Ideal"
705,0.41,"Ideal"
3352,0.53,"Ideal"
7328,1.19,"Ideal"
1893,0.52,"Ideal"
16256,2.02,"Ideal"
1406,0.37,"Ideal"
1069,0.38,"Ideal"
1731,0.5,"Ideal"
6709,1.04,"Ideal"
8843,1.11,"Ideal"
3502,0.71,"Ideal"
12696,2.04,"Ideal"
7178,1.01,"Ideal"
3840,0.7,"Ideal"
5796,1.38,"Ideal"
5411,0.93,"Ideal"
11637,1.52,"Ideal"
1346,0.51,"Ideal"
10246,1.09,"Ideal"
4260,1.01,"Ideal"
1732,0.54,"Ideal"
13257,1.18,"Ideal"
5516,0.92,"Ideal"
1784,0.52,"Ideal"
5155,0.94,"Ideal"
1604,0.55,"Ideal"
949,0.38,"Ideal"
2965,0.71,"Ideal"
2593,0.7,"Ideal"
12912,1.19,"Ideal"
1618,0.62,"Ideal"
4231,0.71,"Ideal"
13263,2,"Ideal"
412,0.27,"Ideal"
3081,0.71,"Ideal"
622,0.4,"Ideal"
440,0.34,"Ideal"
6146,1.1,"Ideal"
1074,0.36,"Ideal"
523,0.35,"Ideal"
17068,2.12,"Ideal"
746,0.38,"Ideal"
720,0.3,"Ideal"
16364,1.8,"Ideal"
9569,1.51,"Ideal"
2663,0.71,"Ideal"
1687,0.51,"Ideal"
10196,1.09,"Ideal"
776,0.36,"Ideal"
9618,1.5,"Ideal"
2745,0.7,"Ideal"
7639,1.11,"Ideal"
2298,0.72,"Ideal"
596,0.35,"Ideal"
885,0.42,"Ideal"
505,0.36,"Ideal"
1358,0.55,"Ideal"
1026,0.41,"Ideal"
1595,0.51,"Ideal"
6366,1.39,"Ideal"
3702,0.77,"Ideal"
8617,1.31,"Ideal"
2671,0.54,"Ideal"
2376,0.7,"Ideal"
1798,0.52,"Ideal"
4725,1.1,"Ideal"
603,0.3,"Ideal"
7862,1.8,"Ideal"
619,0.32,"Ideal"
684,0.4,"Ideal"
1893,0.53,"Ideal"
1096,0.38,"Ideal"
6769,1.08,"Ideal"
605,0.26,"Ideal"
7354,1.14,"Ideal"
18416,1.54,"Ideal"
1813,0.53,"Ideal"
13115,1.51,"Ideal"
12443,1.9,"Ideal"
12778,2.07,"Ideal"
1432,0.41,"Ideal"
1125,0.3,"Ideal"
5395,1.11,"Ideal"
2007,0.54,"Ideal"
9489,1.27,"Ideal"
7423,1.25,"Ideal"
667,0.33,"Ideal"
7858,1.07,"Ideal"
648,0.4,"Ideal"
1397,0.57,"Ideal"
8268,1.04,"Ideal"
10989,1.5,"Ideal"
15785,2.02,"Ideal"
2490,0.7,"Ideal"
13363,1.63,"Ideal"
645,0.32,"Ideal"
4194,1.01,"Ideal"
4808,1.01,"Ideal"
2425,0.77,"Ideal"
12561,1.64,"Ideal"
3860,0.8,"Ideal"
4829,1,"Ideal"
6157,1.02,"Ideal"
9533,1.5,"Ideal"
4096,0.91,"Ideal"
12629,1.3,"Ideal"
7346,1.37,"Ideal"
3440,0.73,"Ideal"
3456,0.86,"Ideal"
7697,1.05,"Ideal"
1926,0.51,"Ideal"
3382,1.02,"Ideal"
2232,0.7,"Ideal"
4469,1,"Ideal"
